ACC#	Xenopus	Kinase
P18850	atf6a	MAPK
P18858	dnli1	CDK
P18887	xrcc1	CDK
P19338	nucl	CDK
P19419	elk1	MAPK
P19525	e2ak2	MAPK
P19634	sl9a1	MAPK
P19793	rxra	MAPK
P19878	ncf2	MAPK
P20248	ccna2	CDK
P20265	p3f2b	MAPK
P20338	rab4b	CDK
P20339	rab5a	MAPK
P20700	laml1	AURK,CDK,PLK
P20810	ical	AURK,CDK,PLK
P20823	hnfaa	DYRK
P21127	cd11b	CDK
P21333	flna	CDK,PLK
P21397	aofa	MAPK
P21796	vdac1	NEK
P21802	fgfr2	MAPK
P22234	pur6	CDK
P22314	uba1	CDK
P22392	ndka2	CDK
P22415	usf1	MAPK
P22674	ccno	CDK
P22736	nr4a1	MAPK
P23258	tbg1	CDK
P23396	rs31	CDK,MAPK,PLK
P23443	ks6b1	CDK,MAPK,NEK
P23511	nfya	CDK
P23527	h2b	AURK
P23769	gata2	CDK,MAPK
P23771	gata3	CDK
P23975	sc6a3	MAPK
P24385	ccnd1	DYRK
P24864	ccne3	CDK
P24928	rpb1	CDK,DYRK
P24941	cdk2	CDK,MAPK
P25054	apc	CDK
P25098	arbk2	CDK
P25205	mcm3	CDK
P25490	tyy1	AURK,PLK
P25963	ikba	AURK
P26045	ptn3	MAPK
P26358	dnmt1	CDK,PLK
P26368	u2af2	CDK
P27361	mk01	MAPK
P27708	pyr1	AURK,MAPK
P27816	map4	AURK,CDK,MAPK,PLK
P27824	calx	CDK,MAPK
P28290	ssfa2	AURK,PLK
P28324	elk4	CDK,MAPK
P28482	mk01	MAPK
P28562	dus1	MAPK
P28715	ercc5	PLK
P28749	rbl1	CDK
P29353	shc1	MAPK
P29374	ari4a	CDK
P29692	ef1d	CDK,PLK
P29966	marcs	CDK,MAPK
P30041	prdx6	MAPK
P30050	rl12	CDK
P30101	pdia3	CDK
P30260	cdc27	CDK,PLK
P30279	ccnd2	MAPK
P30291	wee1b	CDK,PLK
P30304	mpip1	CDK,NEK,PLK
P30305	mpip2	AURK,CDK,MAPK,PLK
P30307	mpip2	PLK
P30622	clip1	PLK
P30626	sorcn	PLK
P31350	rir2	CDK
P31645	sc6a4	MAPK
P31749	akt1	CDK
P31943	hnrh1	CDK
P31946	1433t	MAPK
P32004	l1cam	MAPK
P32121	arrb2	MAPK
P33076	c2ta	MAPK
P33316	dut	CDK
P33778	h2b	AURK
P33981	ttk	AURK,CDK,MAPK,PLK
P33991	mcm4	CDK
P33993	mcm7	AURK,CDK
P35222	ctnb	MAPK,PLK
P35228	nos1	MAPK
P35236	ptprr	MAPK
P35251	rfc1	AURK,CDK
P35269	t2fa	CDK
P35398	rorg	MAPK
P35568	irs1b	MAPK,PLK
P35611	adda	AURK,CDK,MAPK
P35613	basi	NEK
P35638	ddit3	MAPK
P35658	nu214	AURK,MAPK,PLK
P35659	dek	AURK
P36507	mp2k2	PLK
P36873	pp1a	NEK
P36956	srbp1	CDK,MAPK
P37198	nup62	MAPK
P37231	pparg	MAPK
P37802	tagl2	MAPK
P37840	syua	DYRK,PLK
P38159	rbmx	AURK
P38398	brca1	AURK,CDK,PLK
P38432	coil	CDK
P38919	i4a3a	CDK
P38936	cdn1a	CDK,DYRK,MAPK
P39748	fen1b	CDK
P39880	casp	PLK
P40337	vhl	AURK,NEK
P40763	sta31	MAPK,NEK
P41182	bcl6	MAPK
P41208	cetn2	AURK
P41212	etv6	MAPK
P41214	eif2d	PLK
P41235	hnf4a	MAPK
P42166	lap2a	AURK,CDK,PLK
P42167	lap2b	PLK
P42224	stat1	MAPK
P42226	stat6	MAPK
P42229	sta5b	MAPK
P42566	eps15	MAPK,PLK
P42574	casp3	MAPK
P42695	cndd3	AURK,PLK
P42702	lifr	MAPK
P42898	mthr	CDK,PLK
P43307	ssra	CDK
P43354	nr4a2	MAPK
P43364	magg1	MAPK
P43403	zap70	MAPK
P43686	prs6b	DYRK
P45973	cbx5	AURK,CDK
P45974	ubp5	PLK
P46013	ki67	AURK,CDK
P46060	ragp1	CDK
P46087	nop2	CDK,PLK
P46527	cdn1b	CDK,MAPK
P46531	notch	CDK,DYRK,PLK
P46778	rl21	AURK
P46783	rs10	AURK
P46821	map1b	AURK,CDK,PLK
P46937	yap1	AURK,CDK,MAPK,PLK
P47712	pa24a	AURK,MAPK
P47736	rpgp1	CDK,PLK
P48163	maox	NEK
P48200	ireb2	CDK
P48436	sox9b	MAPK
P48634	prc2a	CDK
P48681	tbb4	PLK
P48730	kc1d	PLK
P49023	paxi	MAPK,PLK
P49137	mapk2	MAPK
P49327	fas	PLK
P49366	dhys	MAPK
P49407	arrb1	MAPK
P49418	amph	CDK,DYRK
P49450	cenpa	AURK,CDK
P49454	cenpf	AURK,CDK,PLK
P49459	ube2a	CDK
P49585	pcy1a	PLK
P49715	cebpa	MAPK
P49736	mcm2	AURK,CDK
P49768	psn1	DYRK,MAPK
P49790	nu153	CDK,MAPK,PLK
P49792	rbp2	AURK,CDK,PLK
P49795	rgs19	MAPK
P49810	psn2	AURK
P49815	tsc2	MAPK
P49821	nduv1	CDK
P49841	gsk3b	AURK,MAPK
P49902	5ntc	AURK
P49915	guaa	CDK
P49916	dnli3	CDK
P49959	mre11	PLK
P50402	emd	PLK
P50548	erf	AURK,MAPK
P50570	dyn2	CDK
P50579	ampm2	AURK,PLK
P50613	cdk7	CDK,NEK
P50616	tob1	MAPK
P50750	cdk9a	CDK
P51532	smca4	PLK
P51587	brca2	CDK,PLK
P51610	hcfc1	CDK
P51649	ssdh	CDK
P51812	ks6a3	MAPK
P51955	nek2	NEK
P51956	nek3	NEK
P51957	nek4	AURK
P52292	ima1	PLK
P52594	agfg1	PLK
P52701	msh6	AURK
P52732	ki11a	CDK,NEK
P52945	pdx1	MAPK
P52948	nup98	CDK,NEK,PLK
P53004	biea	MAPK
P53350	plk1	AURK,PLK
P53355	dapk1	MAPK
P53667	limk1	AURK,MAPK
P53671	limk2	AURK
P53778	mk12	MAPK
P53805	rcan1	DYRK
P53814	smtn	CDK,PLK
P54105	icln	PLK
P54132	blm	CDK,NEK,PLK
P54198	hira	CDK
P54274	terf1	CDK,NEK,PLK
P54578	ubp14	CDK
P54725	rd23b	AURK
P54886	p5cs	CDK
P55196	afad	CDK
P55211	casp9	CDK,MAPK
P55273	cdn2d	CDK,MAPK
P55795	hnrh2	CDK
P55957	bid	MAPK
P56181	nduv3	CDK
P56192	symc	MAPK
P56270	maz	MAPK
P56537	if6	PLK
P56817	bace1	MAPK
P57059	sik2	AURK
P57073	sox8	AURK
P57740	nu107	CDK
P58876	h2b	AURK
P60484	pten	PLK
P60891	prps1	CDK
P61020	rab5b	CDK
P61081	ubc12	PLK
P61160	arp2a	PLK
P61586	rhoa	MAPK
P61978	hnrpk	AURK,CDK,MAPK
P62070	rras2	MAPK
P62136	pp1a	CDK
P62140	pp1b	CDK
P62258	1433e	PLK
P62324	btg1	CDK
P62807	h2b11	AURK
P62826	ran	PLK
P62913	rl11	CDK
P62917	rl8	AURK
P63000	rac1	MAPK
P63027	vamp2	PLK
P63104	1433z	MAPK
P63279	ubc9	CDK
P67870	csk2b	CDK
P68366	tba4a	PLK
P68400	csk21	CDK,MAPK
P68431	h3	AURK
P78317	rnf4	CDK
P78344	if4g2	CDK
P78347	gtf2i	AURK,CDK,MAPK,PLK
P78356	pi42b	MAPK
P78357	cntp1	PLK
P78527	prkdc	AURK,PLK
P78536	ada17	MAPK
P82094	tmf1	PLK
P82970	hmgn3	AURK
P84022	smad3	CDK,MAPK
P84077	arf1	PLK
P84243	h33	AURK,CDK,DYRK
P85037	foxk2	AURK
P85298	rhg08	MAPK
P98082	dab2	PLK
P98170	xiap	CDK
P98177	foxo4	MAPK
Q00059	tfam	CDK,MAPK
Q00536	cdk16	AURK,CDK
Q00537	cdk17	AURK
Q00613	hsf	DYRK,MAPK,PLK
Q00688	fkbp3	PLK
Q00839	hnrpu	AURK
Q00987	mdm2	PLK
Q01082	sptb2	PLK
Q01094	e2f1	CDK,MAPK
Q01167	foxk2	CDK
Q01196	runx1	CDK,MAPK
Q01581	hmcs1	CDK,PLK
Q01844	ews	MAPK
Q01860	p5f12	MAPK
Q02078	mef2a	MAPK
Q02156	kpcl	MAPK
Q02224	cenpe	AURK,MAPK
Q02241	kif23	AURK,CDK
Q02363	id2a	DYRK
Q02447	sp3	MAPK
Q02535	id3a	CDK
Q02539	h1a	CDK
Q02750	mp2k1	CDK,MAPK,PLK
Q02880	top2b	CDK
Q02952	aka12	CDK,PLK
Q03060	creb1	MAPK
Q03188	cenpc	AURK,CDK,PLK
Q03252	laml2	CDK
Q04323	ubx1a	CDK
Q04637	if4g1	CDK,MAPK
Q04695	k1c17	AURK
Q05193	dyn1	DYRK
Q05209	ptn12	CDK,MAPK,PLK
Q05516	zbt16	CDK
Q05519	srs11	CDK
Q05586	nmdz1	NEK
Q05639	ef1a2	MAPK
Q05682	cald1	CDK,MAPK,PLK
Q05D32	ctl2a	AURK
Q06210	gfpt1	PLK
Q06330	suh	MAPK
Q06413	mef2c	CDK,MAPK
Q06481	aplp2	CDK,MAPK
Q06546	gabpa	AURK
Q06609	ra51a	PLK
Q06787	fmr1b	PLK
Q06830	prdx1	CDK
Q07065	ckap4	CDK
Q07343	pde4b	MAPK
Q07817	ar11	MAPK,PLK
Q07820	mcl1	AURK,CDK,MAPK
Q07866	klc1	AURK
Q07889	sos1	MAPK
Q08050	foxm1	CDK,PLK
Q08345	ddr1	NEK
Q08379	goga2	CDK
Q08495	dema	MAPK
Q08499	pde4d	MAPK
Q08999	rbl2	CDK,NEK
Q08AD1	camp2	PLK
Q08J23	nsun2	AURK
Q09472	ep300	CDK,MAPK
Q09666	ahnk	AURK,CDK,PLK
Q12772	srbp2	MAPK
Q12778	foxo1	CDK,DYRK,PLK
Q12800	tfcp2	CDK
Q12802	akp13	AURK
Q12815	troap	AURK
Q12834	cdc20	CDK,PLK
Q12857	nfia	AURK
Q12888	tp53b	AURK,CDK,PLK
Q12904	aimp1	MAPK
Q12906	ilf3b	CDK
Q12931	trap1	MAPK
Q12948	fxc1a	CDK,MAPK
Q12959	dlg1	CDK,MAPK
Q12968	nfac3	MAPK
Q12972	pp1r8	AURK,CDK
Q13009	tiam1	CDK
Q13017	rhg05	PLK
Q13042	cdc16	CDK,PLK
Q13043	stk4	MAPK
Q13049	tri32	CDK
Q13111	ca1ab	AURK,PLK
Q13112	caf1b	AURK
Q13115	dus4	MAPK
Q13118	klf10	CDK
Q13127	resta	MAPK,PLK
Q13136	lipa1	PLK
Q13153	pak1	CDK
Q13155	aimp2	MAPK
Q13158	fadd	AURK,PLK
Q13163	mp2k5	MAPK
Q13164	mk07	MAPK
Q13188	stk3	CDK,PLK
Q13190	stx5	PLK
Q13206	ddx10	AURK
Q13242	srsf9	CDK
Q13263	tif1b	AURK
Q13285	stf1	MAPK
Q13309	skp2	CDK,MAPK
Q13315	atm	AURK,PLK
Q13322	grb10	MAPK
Q13330	mta1	CDK
Q13363	ctbp1	MAPK
Q13409	dc1i2	CDK
Q13415	orc1	CDK
Q13416	orc2	CDK,PLK
Q13424	snta1	MAPK
Q13459	myo9b	AURK,CDK
Q13472	top3a	PLK
Q13480	gab1	MAPK
Q13485	smad4	MAPK
Q13501	sqstm	CDK,MAPK
Q13526	pin1	AURK,PLK
Q13535	atr	AURK,CDK
Q13541	4ebp2	CDK,DYRK,MAPK
Q13563	pkd2	AURK
Q13573	snw1	CDK
Q13586	stim1	CDK,MAPK
Q13610	pwp1	AURK
Q13614	mtmr2	MAPK
Q13625	aspp2	MAPK
Q13627	dyr1a	DYRK
Q13761	runx3	AURK
Q13838	dx39b	PLK
Q13950	runx2	CDK,MAPK
Q14005	il16	CDK
Q14103	hnrpd	AURK,CDK
Q14135	vgll4	CDK
Q14151	safb2	AURK,PLK
Q14157	ubp2l	CDK
Q14160	scrib	AURK,PLK
Q14186	tfdp1	CDK
Q14191	wrn	CDK
Q14194	dpyl1	AURK,CDK,DYRK
Q14195	dpy3b	CDK,DYRK
Q14202	zmym3	CDK
Q14203	dctn1	AURK,CDK,PLK
Q14207	npat	CDK
Q14244	map7	AURK,CDK,PLK
Q14247	src8	CDK,MAPK
Q14432	pde3a	AURK
Q14451	grb7	MAPK
Q14493	slbp1	CDK
Q14498	rbm39	PLK
Q14511	casl	AURK
Q14643	itpr1	CDK
Q14653	irf3	MAPK
Q14667	k0100	PLK
Q14669	tripc	AURK
Q14671	pum1	AURK
Q14674	espl1	CDK,MAPK,PLK
Q14676	mdc1	CDK,PLK
Q14678	kank1	PLK
Q14680	melk	AURK
Q14684	rrp1	CDK,PLK
Q14686	ncoa6	MAPK
Q14690	rrp5	PLK
Q14696	mesd	CDK
Q14721	kcnb1	MAPK
Q14739	lbr	CDK
Q14749	gnmt	MAPK
Q14789	gogb1	AURK,PLK
Q14790	casp8	CDK,MAPK,PLK
Q14807	kf22b	CDK
Q14814	mef2d	AURK
Q14839	chd4	CDK
Q14863	po6f1	AURK
Q14934	nfac4	CDK,MAPK
Q14966	zn638	PLK
Q14978	nolc1	CDK,PLK
Q14980	numa1	AURK,CDK,PLK
Q14C86	gapd1	CDK
Q14CB8	rhg19	CDK
Q14CS0	ubx2b	CDK
Q15003	cnd2	AURK,CDK
Q15004	paf15	CDK
Q15007	fl2d	MAPK
Q15013	md2bp	PLK
Q15021	cnd1	PLK
Q15022	suz12	PLK
Q15046	syk	MAPK
Q15047	setb1	CDK
Q15058	kif14	NEK,PLK
Q15061	wdr43	PLK
Q15075	eea1	CDK,MAPK
Q15149	plec	AURK,PLK
Q15154	pcm1	PLK
Q15208	stk38	PLK
Q15303	erbb4	MAPK
Q15361	ttf1	AURK
Q15366	pcbp2	MAPK
Q15398	dlgp5	AURK,CDK,PLK
Q15418	ks6aa	MAPK
Q15424	safb1	AURK,PLK
Q15434	rbms2	CDK
Q15435	pp1r7	PLK
Q15468	stil	PLK
Q15545	taf7	PLK
Q15554	terf2	CDK,MAPK
Q15596	ncoa2	MAPK
Q15643	tripb	CDK,PLK
Q15648	med1	CDK,MAPK
Q15672	twist	MAPK
Q15717	elv1a	CDK,MAPK
Q15746	mylk	MAPK
Q15750	tab1	AURK,MAPK
Q15759	mk11	MAPK
Q15788	ncoa1	CDK,MAPK
Q15796	smad2	MAPK
Q15797	smad1	MAPK
Q15813	tbce	CDK
Q15910	ezh2a	AURK,CDK,MAPK
Q15911	zfhx3	AURK
Q15942	zyx	AURK,CDK,PLK
Q16143	syub	PLK
Q16186	adm1a	PLK
Q16204	ccdc6	CDK,PLK
Q16254	e2f4	MAPK
Q16513	pkn2	CDK
Q16543	cdc37	PLK
Q16555	dpyl2	DYRK
Q16559	lyl1	MAPK
Q16576	rbbp7	PLK
Q16584	m3k10	MAPK
Q16621	nfe2	MAPK
Q16625	ocln	PLK
Q16637	smn	PLK
Q16643	dreb	AURK
Q16659	mk06	CDK,MAPK
Q16665	hif1a	CDK,MAPK,PLK
Q16690	dus5	MAPK
Q16778	h2b	AURK
Q16828	dus6	MAPK
Q2M2I8	aak1	CDK
Q2M2Z5	kiz	PLK
Q2NKX8	erc6l	CDK,PLK
Q2NL82	tsr1	CDK
Q2TB10	zn800	AURK
Q32MZ4	lrrf1	CDK,PLK
Q32P44	emal3	CDK
Q38SD2	lrrk1	CDK,PLK
Q3KQU3	ma7d1	AURK,CDK
Q3KR16	pkhg5	PLK
Q3L8U1	chd8	AURK
Q3MII6	tbc25	AURK
Q3V6T2	grdn	MAPK
Q3YEC7	parf	PLK
Q3ZCW2	legl	PLK
Q49MG5	map9	AURK,PLK
Q4G0J3	larp7	PLK
Q4KMQ1	tprn	PLK
Q4LE39	ari4b	AURK
Q4VCS5	amot	CDK
Q52LA3	lin52	DYRK
Q52LW3	rhg29	PLK
Q53ET0	crtc2	CDK,MAPK
Q53EZ4	cep55	CDK,MAPK,PLK
Q53GL7	par10	CDK,PLK
Q53GS7	gle1	MAPK
Q53H80	akir2	CDK
Q53HL2	bore1	AURK,CDK
Q53SF7	cobl1	AURK
Q562F6	sgol2	AURK
Q5BJF6	odfp2	CDK
Q5BKZ1	zn326	PLK
Q5FBB7	sgol1	AURK,CDK,NEK
Q5HYJ3	fa76b	CDK
Q5JQC9	aka11	MAPK
Q5JRC6	phf6	PLK
Q5JTV8	toip1	CDK,PLK
Q5JTZ9	syam	CDK
Q5M775	cytsb	PLK
Q5QJE6	tdif2	PLK
Q5QNW6	h2b	AURK
Q5SSJ5	hp1b3	AURK,CDK
Q5SW79	ce170	AURK,CDK,PLK
Q5T200	zc3hd	AURK
Q5T447	hecd3	MAPK
Q5T5C0	stb5l	PLK
Q5T5U3	rh21a	AURK
Q5T5Y3	camp1	AURK,PLK
Q5T6F2	ubap2	AURK
Q5TB30	dep1a	CDK
Q5TKA1	lin9	CDK
Q5TZA2	crocc	AURK,CDK
Q5UIP0	rif1	AURK,CDK,PLK
Q5VT52	rprd2	AURK,CDK,PLK
Q5VWN6	f208b	CDK
Q5VZ89	den4c	AURK
Q5VZK9	lr16a	AURK
Q641Q2	fam21	AURK,CDK,PLK
Q68CZ2	tens3	CDK
Q68DK7	msl1	CDK
Q69YH5	cdca2	AURK,CDK,PLK
Q69YN4	vir	PLK
Q6DN03	h2b	AURK
Q6DN12	mctp2	AURK
Q6DRA6	h2b	AURK
Q6IBW4	cndh2	PLK
Q6KC79	nipbl	CDK,PLK
Q6NZI2	ptrf	AURK
Q6P1J9	cdc73	PLK
Q6P1N0	c2d1a	AURK,CDK
Q6P3W7	scyl2	AURK
Q6P4F7	rhgba	CDK
Q6P996	pdxd1	AURK,CDK
Q6PCT2	fxl19	CDK
Q6PGQ7	bora	CDK,PLK
Q6PIJ6	fbx38	AURK
Q6PIW4	figl1	AURK
Q6PKG0	larp1	CDK
Q6PL18	atad2	AURK,PLK
Q6R327	rictr	PLK
Q6RFH5	wdr74	AURK
Q6UB35	c1tm	CDK
Q6W2J9	bcor	CDK
Q6WKZ4	rfip1	PLK
Q6XUX3	dusty	PLK
Q6Y7W6	perq2	CDK
Q6ZRV2	fa83h	AURK,PLK
Q6ZSZ5	arhgi	CDK
Q6ZSZ6	tsh1a	CDK
Q6ZU65	ubn2	CDK
Q6ZUT6	ccdc9	PLK
Q6ZWJ1	stxb4	PLK
Q71F23	cenpu	PLK
Q71U36	tba1	PLK
Q75N03	hakai	AURK
Q76FK4	nol8	PLK
Q76N32	cep68	PLK
Q7KZ85	spt6h	AURK,CDK
Q7KZF4	snd1	MAPK,PLK
Q7KZI7	mark2	CDK
Q7L2Z9	cenpq	PLK
Q7L5N1	csn6	MAPK
Q7LBC6	kdm3b	AURK
Q7RTP6	mica3	CDK
Q7Z2W4	par12	AURK
Q7Z2Z1	ticrr	CDK,PLK
Q7Z3C6	atg9a	PLK
Q7Z3K3	pogz	CDK
Q7Z3T8	zfy16	PLK
Q7Z417	nufp2	CDK
Q7Z4H7	haus6	AURK
Q7Z5J4	rai1	AURK
Q7Z5K2	wapl	PLK
Q7Z6Z7	huwe1	PLK
Q7Z7K6	cenpv	AURK
Q86T82	ubp37	CDK
Q86U44	mta70	MAPK
Q86U86	pb1	CDK,PLK
Q86UC2	rsph3	MAPK
Q86UR1	ncf2	MAPK
Q86V48	luzp1	AURK,PLK
Q86VM9	zch18	CDK
Q86VR2	f134c	PLK
