ACC#	Xenopus	Kinase
Q99741	cdc6	CDK
Q9BPX3	cnd3	CDK
Q9BTA9	wac	CDK
Q9BXR0	tgt	CDK
Q9BYG3	mk67i	CDK
Q9BZL4	pp12c	CDK
Q9C0C9	ube2o	CDK
Q9C0D5	tanc1	CDK
Q9GZM8	ndl1a	CDK
Q9GZV5	wwtr1	CDK
Q9H1A4	apc1	CDK
Q9H1E3	nucks	CDK
Q9H211	cdt1	CDK
Q9H2G4	tsyl4	CDK
Q9H3D4	p63	CDK
Q9H3P2	nelfa	CDK
Q9H410	dsn1	CDK
Q9H425	CA198	CDK
Q9H467	cue2a	CDK
Q9H4X1	rgc32	CDK
Q9H6K1	CF106	CDK
Q9H8V3	ect2	CDK
Q9H8Y8	gors2	CDK
Q9H910	hn1l	CDK
Q9HCH0	nck5l	CDK
Q9NP87	tdt	CDK
Q9NQR1	setd8	CDK
Q9NS91	rad18	CDK
Q9NSV4	diap3	CDK
Q9NTG7	sirt3	CDK
Q9NTI5	pd5bb	CDK
Q9NXR1	nde1a	CDK
Q9NYB0	te2ip	CDK
Q9NYF8	bclf1	CDK
Q9NYV6	rrn3	CDK
Q9NZH5	pttg1	CDK
Q9NZI6	tf2l1	CDK
Q9NZJ0	dtlb	CDK
Q9NZT2	ogfr	CDK
Q9P270	slai2	CDK
Q9P2B4	ct2nl	CDK
Q9UBF8	pi4kb	CDK
Q9UEY8	addg	CDK
Q9UGL1	kdm5b	CDK
Q9UGP4	limd1	CDK
Q9UGP5	dpoll	CDK
Q9UHD8	sept9	CDK
Q9UI09	nduac	CDK
Q9UIF9	baz2a	CDK
Q9UJ70	nagk	CDK
Q9UJX2	cdc23	CDK
Q9UJX5	apc4	CDK
Q9UK53	ing1	CDK
Q9UKM9	hnrpc	CDK
Q9UKX7	nup50	CDK
Q9UKY1	zhx1	CDK
Q9ULC4	mcs1b	CDK
Q9ULW0	tpx2a	CDK
Q9ULX3	nob1	CDK
Q9UM11	fzr	CDK
Q9UNH5	cc14a	CDK
Q9UNZ2	nsf1c	CDK
Q9UPN3	macf1	CDK
Q9UPP1	phf8	CDK
Q9UPU5	ubp24	CDK
Q9UQ35	srrm2	CDK
Q9UQ80	pa2g4	CDK
Q9UQR0	scml2	CDK
Q9Y253	polh	CDK
Q9Y2I6	ninl	CDK
Q9Y2K7	kdm2a	CDK
Q9Y2V2	chsp1	CDK
Q9Y2W1	tr150	CDK
Q9Y3Z3	samh1	CDK
Q9Y4H2	irs2	CDK
Q9Y5N6	orc6	CDK
Q9Y5T5	ubp16	CDK
Q9Y676	rt18b	CDK
Q9Y6I3	epn1	CDK
Q9Y6Q9	ncoa3	CDK
O76064	rnf8a	CDK
Q96NY9	mus81	CDK
Q8NFH5	nup53	CDK
P38432	coil	CDK
Q5UIP0	rif1	CDK
Q9BTX1	ndc1	CDK
Q96HA1	p121c	CDK
Q8TEM1	po210	CDK
Q9Y2U8	man1	CDK
P07992	ercc1	CDK
O14974	mypt1	CDK
Q9BRP8	wibg	CDK
P54886	p5cs	CDK
P57740	nu107	CDK
Q4VCS5	amot	CDK
Q9BVC5	ashwn	CDK
Q96EA4	spdla	CDK
Q99459	cdc5l	CDK
P49454	cenpf	CDK
Q8TAP8	ppr35	CDK
Q14839	chd4	CDK
Q9P2D1	chd7	CDK
Q96RK0	cic	CDK
Q9H9C1	vipar	CDK
Q9UJU6	dbnla	CDK
Q9NPF5	dmap1	CDK
Q14195	dpy3b	CDK
Q9Y2J2	e41l3	CDK
Q9BY44	eif2a	CDK
Q99504	eya3	CDK
Q8NFC6	bod1l	CDK
P78347	gtf2i	CDK
Q9BUJ2	hnrl1	CDK
Q12906	ilf3b	CDK
Q9UFC0	lrwd1	CDK
P29966	marcs	CDK
Q8N3F8	milk1	CDK
O94776	mta2	CDK
Q9Y314	nosip	CDK
Q9Y266	nudc	CDK
Q7Z417	nufp2	CDK
Q86YP4	p66a	CDK
Q86U86	pb1	CDK
Q8IWS0	phf6	CDK
P14859	po2f1	CDK
Q92620	prp16	CDK
Q8WWY3	prp31	CDK
Q9P2N5	rbm27	CDK
Q04323	ubx1a	CDK
Q9H7L9	sds3	CDK
Q05519	srs11	CDK
Q13573	snw1	CDK
Q8IYB3	srrm1	CDK
P35269	t2fa	CDK
Q00059	tfam	CDK
P18887	xrcc1	CDK
Q86VM9	zch18	CDK
Q15942	zyx	CDK
Q9NZM3	itsn2	CDK
Q15004	paf15	CDK
P51610	hcfc1	CDK
Q9H165	bc11a	CDK
Q6W2J9	bcor	CDK
Q53HL2	bore1	CDK
O60885	brd2	CDK
O60583	ccnt2	CDK
P21127	cd11b	CDK
Q03188	cenpc	CDK
Q96BT3	cenpt	CDK
Q96JM3	chap1	CDK
O75175	cnot3	CDK
Q8TEK3	dot1l	CDK
Q5HYJ3	fa76b	CDK
Q6PCT2	fxl19	CDK
Q9NQS7	inceb	CDK
Q92833	jard2	CDK
Q92794	kat6a	CDK
O60341	kdm1a	CDK
Q02241	kif23	CDK
Q9UMN6	mll4	CDK
Q8N9T8	kri1	CDK
Q96PV6	leng8	CDK
Q7KZI7	mark2	CDK
Q9BQG0	mbb1a	CDK
Q96T58	mint	CDK
Q8N5Y2	ms3l1	CDK
Q68DK7	msl1	CDK
P10244	mybb	CDK
P08651	nfic	CDK
Q6KC79	nipbl	CDK
Q9H2Z4	nkx24	CDK
P46087	nop2	CDK
O96028	nsd2	CDK
P49790	nu153	CDK
Q9ULU4	pkcb1	CDK
Q99640	pmyt1	CDK
P62140	pp1b	CDK
Q969G5	sdpr	CDK
Q8NDT2	rb15b	CDK
Q6P4F7	rhgba	CDK
Q5VT52	rprd2	CDK
Q92766	rreb1	CDK
Q9GZR1	senp6	CDK
Q9H7N4	sfr19	CDK
O60264	smca5	CDK
O43463	suv91	CDK
Q9UGU0	tcf20	CDK
Q8WUA4	tf3c2	CDK
Q14186	tfdp1	CDK
Q15643	tripb	CDK
Q6ZSZ6	tsh1a	CDK
Q6ZU65	ubn2	CDK
Q96JM2	zn462	CDK
Q9H582	zn644	CDK
Q9Y520	prc2c	CDK
Q13409	dc1i2	CDK
Q641Q2	fam21	CDK
O15027	sc16a	CDK
Q15434	rbms2	CDK
P07355	anx2a	CDK
P84243	h33	CDK
Q6ZSZ5	arhgi	CDK
Q13459	myo9b	CDK
O00151	pdli1	CDK
O00567	nop56	CDK
O43524	foxo3	CDK
O75940	spf30	CDK
P09493	tpm1	CDK
P18615	nelfe	CDK
P20810	ical	CDK
P45973	cbx5	CDK
P46821	map1b	CDK
P53814	smtn	CDK
Q07065	ckap4	CDK
Q14684	rrp1	CDK
Q15075	eea1	CDK
Q32MZ4	lrrf1	CDK
Q3KQU3	ma7d1	CDK
Q5SSJ5	hp1b3	CDK
Q5VWN6	f208b	CDK
Q68CZ2	tens3	CDK
Q6P996	pdxd1	CDK
Q7RTP6	mica3	CDK
Q7Z3K3	pogz	CDK
Q8NHU6	tdrd7	CDK
Q8WWH5	trub1	CDK
Q8WYP5	elys	CDK
Q92503	s14l1	CDK
Q96AT1	K1143	CDK
Q96HC4	pdli5	CDK
Q96PZ2	f173a	CDK
Q99618	cdca3	CDK
Q9BVJ6	ut14a	CDK
Q9BXF6	rfip5	CDK
Q9BY89	K1671	CDK
Q9H0H5	rgap1	CDK
Q9NPI6	dcp1a	CDK
Q9NRL2	baz1a	CDK
Q9NYZ3	GTSE1	CDK
Q9P0M6	h2aw	CDK
Q9P0V3	sh34b	CDK
Q9Y2X3	nop58	CDK
Q9Y6G9	dc1l1	CDK
Q9Y6Y8	s23ip	CDK
Q92945	fubp2	CDK
Q9ULH1	asap1	CDK
Q9Y6R0	numbl	CDK
O75151	phf2	CDK
O75367	h2ay	CDK
O75475	psip1	CDK
O76021	rl1d1	CDK
Q14696	mesd	CDK
Q5SW79	ce170	CDK
Q96A65	exoc4	CDK
Q96B97	sh3k1	CDK
Q99733	np1l4	CDK
Q9H4L7	smrcd	CDK
Q9P2E9	rrbp1	CDK
Q9UK76	hn1	CDK
Q9Y6M7	s4a10	CDK
Q9NVD7	parva	CDK
P07437	tbb5	CDK
Q12834	cdc20	CDK
P11532	dmd	CDK
Q08379	goga2	CDK
P23511	nfya	CDK
P15172	myoda	CDK
Q13153	pak1	CDK
Q12972	pp1r8	CDK
