SGD Name	symbol	Entry	Protein Level	Phosphorylation	P-Score	Peak	[ST]-P-X-[KR]	[ST]-P
YNL058C	NA	P53947	100	17884	2.3	G2/M	2	5
SRL3	SRL3	P36167	50	9219	2.3	G1	1	4
PRR1	PRR1	P28708	10	1798	2.3	M/G1	1	11
PTK2	PTK2	P47116	300	54365	2.3	NA	2	16
AXL2	AXL2	P38928	3	600	2.3	G1	1	9
XBP1	XBP1	P40489	300	53787	2.3	NA	3	10
SPO11	SPO11	P23179	75	15509	2.3	NA	3	6
LRS4	LRS4	Q04087	25	4889	2.3	NA	2	6
RGA2	RGA2	Q06407	100	19054	2.3	NA	5	18
EXO84	EXO84	P38261	150	29577	2.3	NA	5	8
MMS4	MMS4	P38257	200	43328	2.3	NA	3	6
RLF2	RLF2	Q12495	25	3964	2.2	G1	2	6
DUS3	DUS3	Q06053	10	1608	2.2	NA	2	4
ULP2	ULP2	P40537	100	15145	2.2	NA	3	16
KIP3	KIP3	P53086	50	7592	2.2	S/G2	1	10
YOL036W	NA	Q08206	25	2983	2.1	NA	2	14
BUD6	BUD6	P41697	50	6175	2.1	NA	2	10
MSC3	MSC3	Q05812	50	6002	2.1	NA	3	10
ELM1	ELM1	P32801	500	70287	2.1	S/G2	1	11
KEL1	KEL1	P38853	100	13184	2.1	NA	2	20
YGR035C	NA	P53222	500	66000	2.1	G2/M	2	2
YGL235W	NA	P53071	50	6758	2.1	NA	2	3
SAC7	SAC7	P17121	50	6843	2.1	NA	2	9
NUP60	NUP60	P39705	100	11354	2.1	NA	3	9
WHI5	WHI5	Q12416	350	31266	2	G1	4	12
STU2	STU2	P46675	50	5178	2	S	1	6
JSN1	JSN1	P47135	250	23026	2	NA	2	11
YHL050C	NA	P38721	50	5064	2	G1	1	2
SRM1	SRM1	P21827	50	5441	2	NA	2	2
SPC110	SPC110	P32380	10	918	2	G1	1	3
BUD3	BUD3	P25558	30	2697	2	S/G2	5	21
CDC54	MCM4	P30665	400	29891	1.9	G2/M	2	9
SLA2	SLA2	P33338	1500	128639	1.9	NA	2	10
CSR1	CSR1	Q06705	250	21467	1.9	G1	1	3
GIC1	GIC1	P38785	150	11526	1.9	S	0	7
RPN1	RPN1	P38764	1000	75026	1.9	NA	2	5
SWI4	SWI4	P25302	30	2252	1.9	M/G1	2	18
KAR4	KAR4	P25583	100	7094	1.9	M/G1	2	6
HPC2	HPC2	Q01448	200	15908	1.9	NA	4	13
SVL3	SVL3	Q03088	500	34944	1.8	G1	1	10
SNU66	SNU66	Q12420	500	32000	1.8	G1	1	3
HST3	HST3	P53687	200	12703	1.8	G2/M	1	6
TOF2	TOF2	Q02208	250	17335	1.8	S	2	13
PRK1	PRK1	P40494	200	11297	1.8	NA	3	12
CDC9	CDC9	P04819	100	6429	1.8	G1	2	6
ASM4	ASM4	Q05166	100	6660	1.8	NA	1	8
ECM21	ECM21	P38167	250	16730	1.8	NA	2	17
YBL009W	ALK2	P32789	100	6518	1.8	G1	2	6
YNL254C	RTC4	P53850	200	9066	1.7	NA	2	2
YML020W	NA	Q03722	250	11745	1.7	G1	1	4
DOT1	DOT1	Q04089	10	549	1.7	G1	1	9
SPC29	SPC29	P33419	500	18893	1.6	G1	1	4
SEC16	SEC16	P48415	150	6606	1.6	NA	2	28
YOR248W	NA	Q08681	50	1806	1.6	G1	1	7
APM4	APM4	Q99186	2000	78590	1.6	NA	0	5
MSE1	MSE1	P48525	2500	91927	1.6	NA	5	7
SPC98	SPC98	P53540	100	4194	1.6	G1	3	7
MET1	MET1	P36150	1000	37023	1.6	S	1	2
VTH1	VTH1	P40438	10	398	1.6	NA	2	6
YHR080C	LAM4	P38800	10	380	1.6	NA	2	20
SSF2	SSF2	Q12153	400	16251	1.6	NA	2	4
VPS64	VPS64	Q03944	100	4302	1.6	NA	2	9
CYK3	CYK3	Q07533	100	3730	1.6	M/G1	1	8
YOR385W	NA	Q08909	2000	63831	1.5	NA	0	1
MRS6	MRS6	P32864	300	9161	1.5	NA	2	6
WHI3	WHI3	P34761	20	611	1.5	S/G2	2	8
SMP2	PAH1	P32567	2000	60773	1.5	NA	2	15
RAX2	RAX2	Q12465	75	2517	1.5	G2/M	1	8
GWT1	GWT1	P47026	30	970	1.5	G1	1	2
YIL056W	VHR1	P40522	100	3223	1.5	G2/M	1	6
YFL042C	LAM5	P43560	5	142	1.5	NA	1	9
SPP41	SPP41	P38904	400	12823	1.5	NA	2	12
DOA4	DOA4	P32571	150	5194	1.5	NA	2	13
YBR225W	NA	P38321	50	1575	1.5	NA	2	13
ELP4	ELP4	Q02884	500	12940	1.4	NA	3	5
GDS1	GDS1	P41913	500	12278	1.4	G1	2	13
TEA1	TEA1	P47988	20	453	1.4	S/G2	1	4
ROD1	ROD1	Q02805	100	2275	1.4	M/G1	1	6
NUP53	NUP53	Q03790	500	12218	1.4	NA	2	7
YKR021W	ALY1	P36117	50	1351	1.4	G2/M	1	13
HAL5	HAL5	P38970	50	1211	1.4	NA	2	8
SHO1	SHO1	P40073	5	127	1.4	G1	1	4
ABP1	ABP1	P15891	750	16858	1.4	NA	2	10
AMN1	AMN1	P38285	25	650	1.4	M/G1	2	8
BOI1	BOI1	P38041	250	5990	1.4	NA	5	14
HOS3	HOS3	Q02959	150	2954	1.3	S/G2	1	4
VPS34	VPS34	P22543	200	4262	1.3	NA	2	5
BNR1	BNR1	P40450	200	4268	1.3	NA	2	8
CSM2	CSM2	P40465	250	4966	1.3	G1	2	2
PRM5	PRM5	P40476	75	1406	1.3	S	1	8
YGR068C	ART5	P53244	25	524	1.3	NA	2	8
YFR022W	ROG3	P43602	100	1961	1.3	NA	2	12
UBP5	UBP5	P39944	50	890	1.3	NA	2	13
KIP1	KIP1	P28742	50	945	1.3	S	1	6
YPR013C	CMR3	Q12145	30	456	1.2	G2/M	1	6
YOL101C	IZH4	Q99393	25	439	1.2	M/G1	1	1
RTT109	RTT109	Q07794	250	3810	1.2	G1	2	5
BAS1	BAS1	P22035	250	4181	1.2	NA	2	9
BLM3	BLM10	P43583	5	78	1.2	NA	2	6
GCD6	GCD6	P32501	150	2292	1.2	NA	2	3
NGG1	NGG1	P32494	50	718	1.2	NA	2	4
NBP2	NBP2	Q12163	100	1455	1.2	NA	0	1
ASF2	ASF2	P32448	1000	16355	1.2	G1	1	3
MRPL13	MRPL13	Q02204	300	3646	1.1	NA	0	2
SUC2	SUC2	P00724	200	2591	1.1	G2/M	1	3
BAT1	BAT1	P38891	50	652	1.1	S/G2	1	5
EDE1	EDE1	P34216	500	6413	1.1	NA	2	15
PMS1	PMS1	P14242	50	479	1	G1	5	6
VAC14	VAC14	Q06708	100	1038	1	NA	2	9
PIG1	PIG1	Q06216	250	2695	1	M/G1	2	9
YLL032C	NA	Q07834	500	4777	1	S/G2	2	5
UBP1	UBP1	P25037	250	2796	1	NA	2	6
SED4	SED4	P25365	250	2658	1	NA	2	13
UTP20	UTP20	P35194	75	696	1	NA	2	7
RRD2	RRD2	Q12461	400	2930	0.9	NA	2	4
HEM15	HEM15	P16622	200	1704	0.9	G1	1	3
CWC25	CWC25	P53854	100	847	0.9	NA	0	2
YLR464W	NA	P0CX17	1000	7305	0.9	G1	1	2
YLR287C	NA	Q05881	1000	7823	0.9	NA	2	2
YLR072W	LAM6	Q08001	250	2038	0.9	NA	2	7
YLR057W	MNL2	Q12205	100	847	0.9	G2/M	1	2
RRD1	RRD1	P40454	3000	24311	0.9	NA	2	4
ROK1	ROK1	P45818	200	1633	0.9	NA	3	4
PTC3	PTC3	P34221	500	4087	0.9	NA	1	2
KAR9	KAR9	P32526	100	567	0.8	S	2	15
YPL260W	CUB1	Q08977	1000	6070	0.8	NA	2	3
HAS1	HAS1	Q03532	1000	6113	0.8	NA	2	5
ASK1	ASK1	P35734	1000	5693	0.8	S/G2	1	2
HYS2	POL31	P46957	1500	10598	0.8	G1	1	3
KIC1	KIC1	P38692	200	1197	0.8	NA	3	13
YGR042W	MTE1	P53227	750	4375	0.8	G1	1	2
SPT16	SPT16	P32558	500	2895	0.8	G1	1	7
YDL114W	NA	Q07530	50	333	0.8	NA	2	3
TDP1	TDP1	P38319	100	572	0.8	NA	2	5
YPR204W	NA	Q08995	300	1353	0.7	M/G1	1	2
BUD8	BUD8	P41698	50	272	0.7	G2/M	2	10
SPH1	SPH1	Q06160	25	136	0.7	G1	2	7
HSL1	HSL1	P34244	100	504	0.7	G1	2	13
POL32	POL32	P47110	2500	11249	0.7	G1	1	5
VAM7	VAM7	P32912	100	509	0.7	S/G2	1	2
UBA2	UBA2	P52488	400	2059	0.7	NA	2	4
STB3	STB3	Q12427	400	2052	0.7	NA	1	12
YDL109C	NA	Q12103	75	356	0.7	NA	0	6
ACS1	ACS1	Q01574	500	2554	0.7	NA	2	8
YNR009W	NRM1	P53718	250	1037	0.6	S	2	5
DOA1	DOA1	P36037	4000	17148	0.6	NA	2	5
HXT1	HXT1	P32465	250	939	0.6	M/G1	1	6
RAD30	RAD30	Q04049	250	1009	0.6	NA	2	3
FAL1	FAL1	Q12099	150	566	0.6	NA	2	2
GAL1	GAL1	P04385	2000	8185	0.6	NA	3	4
YNL181W	PBR1	P53878	400	1236	0.5	G1	1	2
VAC7	VAC7	P53950	3000	9690	0.5	NA	3	9
SPC42	SPC42	P36094	7500	24790	0.5	G1	1	8
BCY1	BCY1	P07278	10000	35419	0.5	NA	0	4
INP51	INP51	P40559	300	999	0.5	NA	1	6
LEU1	LEU1	P07264	2000	5936	0.5	NA	3	8
ERP6	ERP6	P53198	500	1702	0.5	NA	0	1
RPB8	RPB8	P20436	1500	3483	0.4	NA	0	1
ELG1	ELG1	Q12050	50	117	0.4	G1	1	2
UBP2	UBP2	Q01476	350	878	0.4	NA	4	10
YPT53	YPT53	P36019	500	1210	0.4	NA	0	0
YLR003C	CMS1	Q07897	3000	7534	0.4	NA	2	3
ARO8	ARO8	P53090	5000	12455	0.4	NA	2	5
AUT10	ATG18	P43601	75	199	0.4	NA	2	5
QRI1	QRI1	P43123	4000	10802	0.4	G1	2	4
PEX19	PEX19	Q07418	1000	2417	0.4	NA	2	2
GPH1	GPH1	P06738	350	694	0.3	G1	2	5
MET12	MET12	P46151	750	1510	0.3	NA	2	6
YKR079C	TRZ1	P36159	1500	2864	0.3	G2/M	1	5
YPT35	YPT35	P38815	500	1082	0.3	NA	0	0
VAC17	VAC17	P25591	500	1016	0.3	S/G2	2	4
YOR391C	HSP33	Q08914	2500	4261	0.2	S/G2	1	1
YOR322C	LDB19	Q12502	50	88	0.2	NA	2	13
HCR1	HCR1	Q05775	2000	2714	0.1	NA	0	3
ECM25	ECM25	P32525	200	265	0.1	S	3	12
CPR2	CPR2	P23285	300	419	0.1	NA	0	1
SSD1	SSD1	P24276	400	482	0.1	NA	2	11
MLC2	MLC2	Q06580	1000	0	0	NA	0	0
VPS66	LOA1	Q06508	100	0	0	NA	0	1
CTF4	CTF4	Q01454	250	0	0	G1	1	5
PIS1	PIS1	P06197	0.1	0	0	NA	1	1
YPR015C	NA	Q12531	50	0	0	NA	2	6
PDH1	PDH1	Q12428	150	0	0	NA	2	2
YRF1-7	YRF1-7	P0CX15	0.1	0	0	M/G1	2	5
CLN2	CLN2	P20438	30	0	0	G1	1	7
GAL4	GAL4	P04386	0.1	0	0	NA	0	13
IQG1	IQG1	Q12280	0.1	0	0	G2/M	4	20
BOP1	FLC1	Q08967	0.1	0	0	G1	1	3
YPL216W	NA	Q08964	0.1	0	0	NA	2	7
HRR25	HRR25	P29295	100	0	0	NA	0	1
RPL7B	RPL7B	Q12213	50	0	0	NA	0	1
YPL158C	AIM44	Q99299	20	0	0	M/G1	1	9
YPL142C	NA	Q08916	200	0	0	NA	0	2
YPL137C	GIP3	Q03016	50	0	0	NA	2	16
PEX25	PEX25	Q02969	50	0	0	NA	2	5
YTA6	YTA6	P40328	200	0	0	NA	2	7
LEE1	LEE1	Q02799	0.1	0	0	S	1	7
RAD1	RAD1	P06777	50	0	0	NA	2	6
RRP12	RRP12	Q12754	0.1	0	0	NA	1	6
FRE3	FRE3	Q08905	0.1	0	0	NA	2	6
ALD4	ALD4	P46367	200	0	0	NA	0	2
PDE2	PDE2	P06776	200	0	0	NA	0	3
MSC6	MSC6	Q08818	50	0	0	NA	1	5
CIN1	CIN1	P40987	0.1	0	0	NA	2	9
UBC11	UBC11	P52492	50	0	0	NA	0	3
MCH5	MCH5	Q08777	75	0	0	NA	0	2
YOR298W	MUM3	Q08750	100	0	0	G2/M	0	3
TPO4	TPO4	Q12256	0.1	0	0	G2/M	1	4
PAC1	PAC1	P39946	200	0	0	NA	0	3
YOR256C	TRE2	Q08693	0.1	0	0	G2/M	1	7
YOR246C	ENV9	Q08651	200	0	0	NA	0	1
SSP2	SSP2	Q08646	2	0	0	M/G1	1	3
RIS1	ULS1	Q08562	0.1	0	0	NA	2	7
TUF1	TUF1	P02992	5	0	0	NA	2	3
YOR129C	AFI1	Q99222	75	0	0	G2/M	3	5
YOR093C	CMR2	Q12275	0.1	0	0	NA	2	9
YOR073W	SGO1	Q08490	400	0	0	S	1	5
GYP1	GYP1	Q08484	0.1	0	0	NA	2	8
YOR022C	DDL1	Q12204	0.1	0	0	NA	2	7
PET127	PET127	P32606	0.1	0	0	NA	2	4
YOL138C	RTC1	Q08281	200	0	0	NA	2	16
GAS4	GAS4	Q08271	0.1	0	0	G2/M	0	4
MDH2	MDH2	P22133	200	0	0	NA	0	5
AVO1	AVO1	Q08236	0.1	0	0	NA	0	8
MDM20	MDM20	Q12387	2500	0	0	NA	2	2
HST1	HST1	P53685	100	0	0	NA	0	2
RPP2A	RPP2A	P05319	750	0	0	NA	0	1
PET494	PET494	P07390	50	0	0	NA	2	3
ARE2	ARE2	P53629	200	0	0	NA	0	2
ACC1	ACC1	Q00955	0.1	0	0	NA	4	15
HXT14	HXT14	P42833	0.1	0	0	NA	1	3
TRF5	TRF5	P48561	0.1	0	0	NA	2	4
PCL1	PCL1	P24867	250	0	0	G1	1	6
TOF1	TOF1	P53840	0.1	0	0	G1	1	6
DSL1	DSL1	P53847	200	0	0	NA	2	3
BNI4	BNI4	P53858	0.1	0	0	G1	4	19
ELA1	ELA1	P53861	50	0	0	NA	2	4
MER1	MER1	P16523	100	0	0	NA	0	1
YNL198C	NA	P40166	10	0	0	NA	0	2
APC1	APC1	P53886	0.1	0	0	G2/M	1	12
YNL171C	NA	P53887	100	0	0	G2/M	0	1
RPL42A	RPL42A	P0CX27	200	0	0	NA	0	0
RLR1	THO2	P53552	0.1	0	0	NA	2	7
YNL136W	EAF7	P53911	150	0	0	NA	2	6
INP52	INP52	P50942	0.1	0	0	NA	3	10
MET4	MET4	P32389	0.1	0	0	NA	1	6
YNL092W	NA	P53934	500	0	0	NA	2	3
IMP4	IMP4	P53941	200	0	0	NA	0	0
NOP2	NOP2	P40991	100	0	0	NA	0	4
LIT1	SLM2	P53955	0.1	0	0	NA	2	7
YNL035C	NA	P53962	100	0	0	NA	2	3
MRP7	MRP7	P12687	0.1	0	0	NA	0	1
UBP15	UBP15	P50101	100	0	0	NA	0	5
MSU1	DSS1	P39112	0.1	0	0	NA	2	8
FUS2	FUS2	Q05670	0.1	0	0	NA	3	8
ESC1	ESC1	Q03661	500	0	0	NA	2	12
HFA1	HFA1	P32874	0.1	0	0	NA	3	14
CLN1	CLN1	P20437	0.1	0	0	G1	1	6
PSO2	PSO2	P30620	50	0	0	NA	2	2
REC114	REC114	P32841	0.1	0	0	NA	2	7
YMR124W	EPO1	P39523	0.1	0	0	NA	4	13
AIP1	AIP1	P46680	5000	0	0	NA	2	6
YMR086W	SEG1	Q04279	0.1	0	0	NA	2	10
ERB1	ERB1	Q04660	50	0	0	NA	2	4
QRI8	UBC7	Q02159	100	0	0	NA	1	6
YMR018W	PEX9	Q04364	0.1	0	0	NA	0	0
SPO20	SPO20	Q04359	0.1	0	0	NA	1	2
CLU1	CLU1	Q03690	200	0	0	NA	2	7
ZDS2	ZDS2	P54786	0.1	0	0	G1	2	6
URA5	URA5	P13298	2000	0	0	NA	0	1
RPM2	RPM2	Q02773	2000	0	0	NA	2	10
YML079W	NA	Q03629	1000	0	0	NA	0	3
SMA2	SMA2	Q04658	75	0	0	G2/M	1	4
YML059C	NTE1	Q04958	0.1	0	0	NA	1	17
YRF1-4	YRF1-4	O13559	0.1	0	0	M/G1	1	2
YLR463C	NA	O13557	0.1	0	0	M/G1	2	4
YLR454W	FMP27	Q06179	25	0	0	NA	2	16
MAG2	MAG2	Q06436	250	0	0	NA	2	5
YLR422W	DCK1	Q06409	0.1	0	0	NA	2	11
YLR413W	INA1	Q06689	0.1	0	0	G2/M	0	6
SKI2	SKI2	P35207	20	0	0	NA	2	10
SUR4	ELO3	P40319	10	0	0	G1	1	1
ROM2	ROM2	P51862	25	0	0	NA	2	11
ARC18	ARC18	Q05933	500	0	0	NA	0	2
YLR343W	GAS2	Q06135	0.1	0	0	G1	1	3
FKS1	FKS1	P38631	0.1	0	0	G1	1	13
SFH1	SFH1	Q06168	0.1	0	0	NA	2	4
CTS1	CTS1	P29029	10	0	0	G1	1	5
YLR247C	IRC20	Q06554	0.1	0	0	NA	2	9
ARV1	ARV1	Q06541	0.1	0	0	NA	0	1
YLR173W	NA	Q06247	5	0	0	NA	2	3
YLR156W	NA	P0CE96	50	0	0	NA	0	1
SLS1	SLS1	P42900	0.1	0	0	NA	0	12
SLX4	SLX4	Q12098	50	0	0	G1	2	6
YLR132C	USB1	Q12208	1000	0	0	NA	2	3
YLR128W	DCN1	Q12395	500	0	0	NA	0	1
SRN2	SRN2	Q99176	100	0	0	NA	0	1
YLR114C	AVL9	Q12500	0.1	0	0	NA	0	6
YLR091W	GEP5	Q12393	50	0	0	NA	2	6
EMP46	EMP46	Q12396	0.1	0	0	NA	2	3
IES3	IES3	Q12345	0.1	0	0	NA	0	3
YLL064C	PAU18	P0CE91	0.1	0	0	NA	0	0
VPS13	VPS13	Q07878	0.1	0	0	NA	2	20
YKR077W	MSA2	P36157	10	0	0	G1	4	14
